,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0429157549234136,0.047,0.098,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.25537109375,0.266,0.459,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0420327903986284,0.047,0.143,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.149873911049977,0.156,0.266,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.6563421828908,14.25,14.877,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0550526315789474,0.063,0.167,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.6769987174006,1.875,2.093,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.113646240764885,0.125,0.187,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0651404942208051,0.078,0.147,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.352901484480432,0.375,0.556,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0540959867604468,0.063,0.164,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,11.3683684210526,12.906,13.471,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.135745431893688,0.156,0.277,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.03973404255319,9.031,9.461,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.3885046113307,10.219,10.616,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0949823578248235,0.109,0.157,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0449621733149931,0.047,0.177,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.56477319166326,3,3.179,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.14310990840966,1.313,1.611,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0545473508552357,0.063,0.203,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.107304062371769,0.125,0.4,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0407574812967581,0.047,0.17,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,876.413908671973,1000,1000,0,0,0,
